epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.268,3.73765,2.40152,1.3359,0.14838,0.1235,0.05335,0.01632,3.39966,2.09999,1.17669,0.000665094,0.000665094,0.000665094
2,77.295,3.46443,1.76249,1.15615,0.19951,0.12703,0.07351,0.02088,3.47292,1.85567,1.13447,0.00131293,0.00131293,0.00131293
3,113.09,3.34297,1.67405,1.12048,0.24004,0.15434,0.1022,0.03059,3.19758,1.60932,1.12028,0.0019419,0.0019419,0.0019419
4,148.493,3.25808,1.61555,1.10576,0.27286,0.17092,0.11938,0.03383,3.20707,1.64116,1.08914,0.00191514,0.00191514,0.00191514
5,183.636,3.14685,1.56803,1.09914,0.29544,0.19127,0.14237,0.0464,2.8862,1.50548,1.06151,0.00188686,0.00188686,0.00188686
6,218.718,3.1028,1.5396,1.07636,0.28338,0.17377,0.12599,0.04104,3.02289,2.27137,1.08543,0.00185857,0.00185857,0.00185857
7,253.839,3.04736,1.51651,1.07418,0.31456,0.18426,0.14712,0.04892,2.98722,1.56461,1.06524,0.00183029,0.00183029,0.00183029
8,289.053,3.02103,1.48844,1.06116,0.37836,0.1981,0.17862,0.06239,2.88344,1.54912,1.06929,0.001802,0.001802,0.001802
9,324.266,2.96745,1.45099,1.04779,0.359,0.19819,0.17554,0.05912,2.87573,1.40915,1.05681,0.00177371,0.00177371,0.00177371
10,359.775,2.9482,1.44442,1.04465,0.35872,0.20284,0.18002,0.06489,2.74817,1.34888,1.04686,0.00174543,0.00174543,0.00174543
11,395.178,2.91647,1.43217,1.04305,0.3547,0.20067,0.17635,0.06333,2.78061,1.42712,1.04763,0.00171714,0.00171714,0.00171714
12,430.417,2.86135,1.41228,1.04088,0.39497,0.20798,0.19133,0.07006,2.76515,1.42069,1.04004,0.00168886,0.00168886,0.00168886
13,465.897,2.87451,1.41211,1.03494,0.40526,0.21661,0.20556,0.07557,2.7052,1.31837,1.03191,0.00166057,0.00166057,0.00166057
14,501.166,2.85863,1.40385,1.0329,0.37809,0.21619,0.19769,0.07304,2.66519,1.38752,1.03727,0.00163229,0.00163229,0.00163229
15,536.456,2.79688,1.37856,1.0382,0.4022,0.21808,0.20284,0.07604,2.64539,1.31198,1.0216,0.001604,0.001604,0.001604
16,571.705,2.81804,1.38106,1.02811,0.42098,0.22141,0.21382,0.07986,2.62395,1.27564,1.02594,0.00157571,0.00157571,0.00157571
17,606.998,2.79301,1.37119,1.02563,0.41652,0.22429,0.21402,0.08042,2.62356,1.3388,1.02612,0.00154743,0.00154743,0.00154743
18,642.263,2.76428,1.34569,1.01982,0.43544,0.23483,0.22867,0.08956,2.49905,1.23301,1.006,0.00151914,0.00151914,0.00151914
19,677.784,2.74287,1.34189,1.02046,0.43361,0.23276,0.22725,0.08531,2.56435,1.24869,1.0093,0.00149086,0.00149086,0.00149086
20,713.063,2.70641,1.33366,1.02237,0.4419,0.23191,0.23127,0.0881,2.56009,1.22751,1.01229,0.00146257,0.00146257,0.00146257
21,748.264,2.70102,1.32849,1.01789,0.45237,0.23665,0.23558,0.09055,2.50112,1.20958,1.00448,0.00143429,0.00143429,0.00143429
22,783.541,2.72903,1.32508,1.0055,0.44827,0.23711,0.23683,0.09165,2.50426,1.21976,1.00107,0.001406,0.001406,0.001406
23,818.971,2.70766,1.32172,1.00809,0.45975,0.23731,0.23218,0.09009,2.46442,1.21572,1.00282,0.00137771,0.00137771,0.00137771
24,854.613,2.69581,1.31814,1.00998,0.44664,0.23655,0.23507,0.08999,2.55221,1.25163,1.00379,0.00134943,0.00134943,0.00134943
25,890.2,2.67924,1.30379,1.00071,0.4497,0.24266,0.24176,0.0966,2.45991,1.1944,1.00449,0.00132114,0.00132114,0.00132114
26,925.905,2.64714,1.28994,1.0058,0.44948,0.24129,0.24275,0.09708,2.48836,1.22683,1.00166,0.00129286,0.00129286,0.00129286
27,961.212,2.66912,1.29477,1.00211,0.4739,0.24483,0.24868,0.10038,2.41339,1.20583,0.99245,0.00126457,0.00126457,0.00126457
28,996.465,2.63948,1.29094,1.00163,0.47778,0.2471,0.25148,0.10024,2.41881,1.17601,0.99415,0.00123629,0.00123629,0.00123629
29,1031.56,2.63482,1.28679,0.99986,0.46661,0.24326,0.24537,0.0947,2.47378,1.19456,0.99861,0.001208,0.001208,0.001208
30,1066.81,2.62278,1.27941,1.00614,0.4647,0.24447,0.24605,0.09965,2.40647,1.19534,0.99637,0.00117971,0.00117971,0.00117971
31,1102.02,2.57769,1.26467,1.00592,0.47343,0.24881,0.25114,0.10023,2.41111,1.18171,0.99225,0.00115143,0.00115143,0.00115143
32,1137.67,2.61526,1.27576,0.99848,0.49569,0.24967,0.26056,0.10738,2.37549,1.15378,0.99115,0.00112314,0.00112314,0.00112314
33,1173.07,2.59336,1.25915,0.99409,0.4854,0.25714,0.26628,0.1107,2.3498,1.14735,0.9854,0.00109486,0.00109486,0.00109486
34,1208.42,2.58601,1.2586,0.98791,0.47473,0.25613,0.26211,0.10763,2.37669,1.14237,0.9885,0.00106657,0.00106657,0.00106657
35,1243.8,2.61782,1.26893,0.98852,0.48552,0.25462,0.26246,0.10886,2.38218,1.15281,0.9905,0.00103829,0.00103829,0.00103829
36,1279.02,2.56001,1.24986,0.99888,0.48522,0.25593,0.26382,0.11224,2.32048,1.13954,0.98405,0.00101,0.00101,0.00101
37,1314.15,2.5812,1.25897,0.98825,0.48706,0.25563,0.26429,0.11066,2.327,1.13632,0.98303,0.000981714,0.000981714,0.000981714
38,1349.37,2.59033,1.25058,0.97873,0.49366,0.25114,0.26353,0.11229,2.31659,1.14792,0.98302,0.000953429,0.000953429,0.000953429
39,1385.03,2.54468,1.23662,0.99077,0.49196,0.2577,0.2647,0.10836,2.33193,1.13824,0.98098,0.000925143,0.000925143,0.000925143
40,1420.35,2.55542,1.2454,0.98864,0.5015,0.26184,0.2713,0.11602,2.29756,1.12738,0.97658,0.000896857,0.000896857,0.000896857
