epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6983.38,1.23448,0.72753,1.01896,0.85866,0.71775,0.82342,0.55727,1.28105,0.76324,1.076,0.000840286,0.000840286,0.000840286
43,7117.04,1.22296,0.71761,1.01259,0.85971,0.71661,0.82487,0.55964,1.27535,0.76013,1.07717,0.000812,0.000812,0.000812
44,7323.32,1.19911,0.70778,1.01071,0.86617,0.7232,0.82964,0.56426,1.2782,0.75766,1.07662,0.000783714,0.000783714,0.000783714
45,7459.75,1.2096,0.71168,1.01116,0.86885,0.71899,0.82969,0.56211,1.28355,0.75157,1.07581,0.000755429,0.000755429,0.000755429
46,7619.67,1.22636,0.72095,1.01492,0.8638,0.72468,0.82982,0.56389,1.27634,0.74593,1.07253,0.000727143,0.000727143,0.000727143
47,7782.42,1.20867,0.70913,1.00974,0.86302,0.72563,0.83009,0.56393,1.27752,0.75303,1.07591,0.000698857,0.000698857,0.000698857
48,7948.07,1.22628,0.71541,1.01396,0.85767,0.73203,0.83268,0.56463,1.27214,0.75675,1.07313,0.000670571,0.000670571,0.000670571
49,8131.3,1.20649,0.70644,1.00708,0.86501,0.72732,0.83381,0.56789,1.26447,0.74087,1.06985,0.000642286,0.000642286,0.000642286
50,8259.54,1.19277,0.69855,1.00508,0.85966,0.73221,0.83299,0.56715,1.2651,0.73958,1.071,0.000614,0.000614,0.000614
51,8385.69,1.19014,0.69502,1.00318,0.85775,0.73256,0.83264,0.56911,1.25938,0.73284,1.06864,0.000585714,0.000585714,0.000585714
52,8525.38,1.20093,0.69859,1.00399,0.86308,0.73361,0.83567,0.57094,1.25627,0.7376,1.06614,0.000557429,0.000557429,0.000557429
53,8692.32,1.19293,0.69617,1.0051,0.86662,0.73226,0.83575,0.57131,1.25472,0.73625,1.06737,0.000529143,0.000529143,0.000529143
54,8828.87,1.18136,0.69363,1.00313,0.86498,0.73302,0.83566,0.57126,1.25506,0.73048,1.06679,0.000500857,0.000500857,0.000500857
55,8946.73,1.17866,0.68573,0.99888,0.86564,0.73423,0.83826,0.57311,1.24882,0.72885,1.06584,0.000472571,0.000472571,0.000472571
56,9550.05,1.16437,0.68171,1.00434,0.86582,0.73887,0.83963,0.57344,1.25457,0.73078,1.06569,0.000444286,0.000444286,0.000444286
57,9720.4,1.17405,0.68365,1.00113,0.86369,0.74034,0.84081,0.575,1.2486,0.72346,1.06251,0.000416,0.000416,0.000416
58,9871.48,1.16652,0.67902,0.99754,0.87072,0.73867,0.84013,0.57576,1.24583,0.71949,1.06019,0.000387714,0.000387714,0.000387714
59,10037.4,1.17069,0.67939,0.99966,0.8631,0.74205,0.84006,0.57555,1.2459,0.7185,1.06223,0.000359429,0.000359429,0.000359429
60,10206.2,1.15897,0.67618,1.00038,0.87762,0.73614,0.84042,0.57656,1.24663,0.71702,1.06161,0.000331143,0.000331143,0.000331143
61,10366.6,1.15528,0.67257,0.9978,0.87554,0.73385,0.84089,0.57659,1.24548,0.72035,1.06187,0.000302857,0.000302857,0.000302857
62,10671.7,1.15658,0.67166,0.99762,0.86776,0.74052,0.84156,0.57861,1.24185,0.71178,1.05824,0.000274571,0.000274571,0.000274571
63,10853.8,1.14023,0.66204,0.99519,0.86582,0.74145,0.84168,0.578,1.24016,0.71247,1.05972,0.000246286,0.000246286,0.000246286
64,11031.4,1.14976,0.66563,0.99568,0.86361,0.7424,0.84137,0.5785,1.23803,0.70874,1.05948,0.000218,0.000218,0.000218
65,11223.7,1.14624,0.66132,0.99266,0.86602,0.74447,0.84311,0.57834,1.24061,0.71036,1.05868,0.000189714,0.000189714,0.000189714
66,11442.9,1.16224,0.66515,1.00895,0.87226,0.7416,0.84181,0.57783,1.25005,0.71229,1.06305,0.000161429,0.000161429,0.000161429
67,11580.8,1.15039,0.65743,1.00805,0.87068,0.7421,0.84313,0.57818,1.248,0.7096,1.06246,0.000133143,0.000133143,0.000133143
68,11683,1.15047,0.65726,1.00662,0.87002,0.74402,0.84387,0.57951,1.24134,0.70828,1.06041,0.000104857,0.000104857,0.000104857
69,11813.4,1.13244,0.64862,1.00139,0.87116,0.74579,0.84446,0.58101,1.23794,0.70572,1.05841,7.65714e-05,7.65714e-05,7.65714e-05
70,11946.4,1.13942,0.65115,1.0017,0.87005,0.74528,0.84427,0.58061,1.23771,0.70507,1.05821,4.82857e-05,4.82857e-05,4.82857e-05
