epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.228,2.04014,1.79266,1.33492,0.6795,0.48531,0.56583,0.30717,1.79301,1.46073,1.33196,0.000665094,0.000665094,0.000665094
2,1237.71,1.74748,1.2183,1.20043,0.73641,0.54022,0.63088,0.36227,1.69287,1.23126,1.28398,0.00128781,0.00128781,0.00128781
3,1589.69,1.70078,1.14358,1.18119,0.75808,0.53896,0.63863,0.37179,1.72524,1.30624,1.28702,0.00186653,0.00186653,0.00186653
4,1928.87,1.63266,1.0709,1.15868,0.77847,0.575,0.68051,0.40703,1.60992,1.12313,1.2435,0.001802,0.001802,0.001802
5,2117.93,1.56124,1.02613,1.14108,0.76285,0.59418,0.69071,0.42199,1.57524,1.09784,1.21457,0.001736,0.001736,0.001736
6,2375.54,1.5221,0.97944,1.11578,0.77529,0.59024,0.69586,0.42888,1.53669,1.10426,1.20227,0.00167,0.00167,0.00167
7,2674.75,1.48881,0.94933,1.11194,0.79966,0.63268,0.73654,0.45787,1.49737,0.99261,1.18045,0.001604,0.001604,0.001604
8,2903.6,1.47527,0.9331,1.10073,0.80292,0.63889,0.74444,0.46345,1.49453,1.01025,1.16953,0.001538,0.001538,0.001538
9,3121.65,1.44471,0.90525,1.08721,0.80904,0.64737,0.75093,0.4736,1.44963,0.97149,1.16646,0.001472,0.001472,0.001472
10,3324.95,1.4188,0.89547,1.08571,0.80174,0.64249,0.74693,0.47058,1.46823,0.95072,1.1658,0.001406,0.001406,0.001406
11,3572.36,1.41709,0.88497,1.07658,0.81684,0.65469,0.7592,0.48143,1.4317,0.93264,1.15302,0.00134,0.00134,0.00134
12,3971.46,1.40791,0.87487,1.07906,0.82376,0.63857,0.75036,0.48311,1.43678,0.95073,1.15294,0.001274,0.001274,0.001274
13,4185.89,1.39093,0.8634,1.07169,0.83215,0.64227,0.7568,0.48908,1.43868,0.93781,1.15577,0.001208,0.001208,0.001208
14,4580.85,1.37444,0.84907,1.06772,0.82749,0.65632,0.76678,0.49684,1.41238,0.89176,1.14172,0.001142,0.001142,0.001142
15,4934,1.36469,0.84073,1.06438,0.83825,0.66826,0.77865,0.50573,1.38927,0.87515,1.13057,0.001076,0.001076,0.001076
16,5655.44,1.33088,0.8239,1.06211,0.83471,0.67049,0.78222,0.51106,1.37457,0.87222,1.12891,0.00101,0.00101,0.00101
17,6410.91,1.34205,0.82424,1.05347,0.83397,0.67939,0.78634,0.51177,1.36911,0.88119,1.12587,0.000944,0.000944,0.000944
18,6687,1.33368,0.81059,1.051,0.83543,0.68458,0.79062,0.518,1.35346,0.86292,1.12233,0.000878,0.000878,0.000878
19,6884.12,1.31199,0.79779,1.04664,0.83619,0.68588,0.79177,0.52045,1.35495,0.85102,1.12121,0.000812,0.000812,0.000812
20,7565.87,1.29898,0.79014,1.04025,0.84478,0.6848,0.79242,0.52116,1.35163,0.84789,1.1177,0.000746,0.000746,0.000746
21,7973.41,1.28489,0.77978,1.04235,0.84892,0.69098,0.79886,0.52665,1.33784,0.83725,1.11653,0.00068,0.00068,0.00068
22,8354.72,1.25543,0.76183,1.03181,0.84337,0.69814,0.8027,0.5328,1.32428,0.82228,1.10812,0.000614,0.000614,0.000614
23,8644.04,1.28703,0.77184,1.03114,0.84755,0.70243,0.81175,0.5393,1.31585,0.80587,1.10173,0.000548,0.000548,0.000548
24,9523.28,1.26909,0.76321,1.03217,0.84709,0.7043,0.80942,0.54026,1.3117,0.79136,1.10337,0.000482,0.000482,0.000482
25,9893.04,1.24666,0.74756,1.02643,0.84593,0.7094,0.81301,0.54199,1.30713,0.78778,1.09755,0.000416,0.000416,0.000416
26,10182.2,1.27453,0.76154,1.0446,0.84364,0.70803,0.81293,0.54095,1.30571,0.79817,1.096,0.00035,0.00035,0.00035
27,10403.8,1.23833,0.74415,1.04277,0.84515,0.71197,0.81608,0.54495,1.29796,0.78904,1.09282,0.000284,0.000284,0.000284
28,10570.1,1.24276,0.73889,1.03881,0.8521,0.71142,0.81678,0.54958,1.28273,0.77806,1.09109,0.000218,0.000218,0.000218
29,10781.2,1.22053,0.72492,1.03348,0.85162,0.71894,0.82244,0.55448,1.27972,0.76341,1.08796,0.000152,0.000152,0.000152
30,10939.7,1.20549,0.7144,1.02912,0.8517,0.72055,0.82383,0.556,1.27143,0.76218,1.08474,8.6e-05,8.6e-05,8.6e-05
